Kabupaten/Kota,TingkatTransisi_SMP_SMA
Pacitan,0.2483151637960158
Ponorogo,0.45372959363856447
Trenggalek,0.3524599997249581
Tulungagung,0.3738099881964475
Blitar,0.26936891402372753
Kediri,0.337079283115438
Malang,0.31039829713953354
Lumajang,0.40200270777765024
Jember,0.3603981865932049
Banyuwangi,0.38919570051549923
Bondowoso,0.440374451379158
Situbondo,0.5113724506199979
Probolinggo,0.48634446666159165
Pasuruan,0.3294492269446924
Sidoarjo,0.43366178122655163
Mojokerto,0.4050406439622706
Jombang,0.44264444017078947
Nganjuk,0.4387752894388635
Madiun,0.4294608960890443
Magetan,0.44941525001722854
Ngawi,0.3503992733714839
Bojonegoro,0.5275638069545211
Tuban,0.39534961826087694
Lamongan,0.5709423379828173
Gresik,0.5874835147786748
Bangkalan,0.46600349721366585
Sampang,0.4074355670324323
Pamekasan,0.6191024844173888
Sumenep,0.7433957195021097
Kota Kediri,0.868086952823728
Kota Blitar,0.574846853537953
Kota Malang,0.5802699165211779
Kota Probolinggo,0.5123861783628231
Kota Pasuruan,0.46346241014530876
Kota Mojokerto,0.513167598746996
Kota Madiun,0.6262372473564592
Kota Surabaya,0.5232461195695157
Kota Batu,0.5521153718470351
